246,Rice Owls,Houston,Texas,1915
247,Richmond Spiders,Richmond,Virginia,1913
248,Rider Broncs,Lawrenceville,New Jersey,1929
249,Robert Morris Colonials,Moon Township,Pennsylvania,1977
250,Rutgers Scarlet Knights,New Brunswick,New Jersey,1914
251,Sacramento State Hornets,Sacramento,California,1992
252,Sacred Heart Pioneers,Fairfield,Connecticut,2000
253,Saint Francis (PA) Red Flash,Loretto,Pennsylvania,1956
254,Saint Joseph's Hawks,Philadelphia,Pennsylvania,1910
255,Saint Louis Billikens,St. Louis,Missouri,1916
256,Saint Mary's (CA) Gaels,Moraga,California,1910
257,Saint Peter's Peacocks,Jersey City,New Jersey,1966
258,Sam Houston State Bearkats,Huntsville,Texas,1987
259,Samford Bulldogs,Birmingham,Alabama,1973
260,San Diego State Aztecs,San Diego,California,1971
261,San Diego Toreros,San Diego,California,1980
262,San Francisco Dons,San Francisco,California,1924
263,San Jose State Spartans,San Jose,California,1938
264,Santa Clara Broncos,Santa Clara,California,1909
265,Savannah State Tigers,Savannah,Georgia,2003
266,Seattle Redhawks,Seattle,Washington,1953
267,Seton Hall Pirates,South Orange,New Jersey,1909
268,Siena Saints,Loudonville,new York,1939
269,South Alabama Jaguars,Mobile,Alabama,1972
270,South Carolina Gamecocks,Columbia,South Carolina,1909
271,South Carolina State Bulldogs,Orangeburg,South Carolina,1972
272,South Carolina Upstate Spartans,Spartanburg,South Carolina,2011
273,South Dakota Coyotes,Vermillion,South Dakota,2011
274,South Dakota State Jackrabbits,Brookings,South Dakota,2009
275,South Florida Bulls,Tampa,Florida,1974
276,Southeast Missouri State Redhawks,Cape Girardeau,Missouri,1992
277,Southeastern Louisiana Lions,Hammond,Louisiana,1981
278,Southern California Trojans,Los Angeles,California,1907
279,Southern Illinois Salukis,Carbondale,Illinois,1968
280,Southern Illinois-Edwardsville Cougars,Edwardsville,Illinois,2011
281,Southern Jaguars,Baton Rouge,Louisiana,1978
282,Southern Methodist Mustangs,Dallas,Texas,1917
283,Southern Mississippi Golden Eagles,Hattiesburg,Mississippi,1967
284,Southern Utah Thunderbirds,Ceder City,Utah,1989
285,St. Bonaventure Bonnies,St. Bonaventure,New York,1920
286,St. Francis (NY) Terriers,Brooklyn Heights,New York,1902
287,St. John's (NY) Red Storm,Queens,New York,1908
288,Stanford Cardinal,Stanford,California,1914
289,Stephen F. Austin Lumberjacks,Nacogdoches,Texas,1987
290,Stetson Hatters,DeLand,Florida,1972
291,Stony Brook Seawolves,Stony Brook,New York,2000
292,Syracuse Orange,Syracuse,New York,1899
293,Temple Owls,Philadelphia,Pennsylvania,1895
294,Tennessee State Tigers,Nashville,Tennessee,1978
295,Tennessee Tech Golden Eagles,Cookeville,Tennessee,1944
296,Tennessee Volunteers,Knoxville,Tennessee,1909
297,Tennessee-Martin Skyhawks,Martin,Tennessee,1993
298,Texas A&M Aggies,College Station,Texas,1913
299,Texas A&M-Corpus Christi Islanders,Corpus Christi,Texas,2003
300,Texas Christian Horned Frogs,Fort Worth,Texas,1914
301,Texas Longhorns,Austin,Texas,1906
302,Texas Southern Tigers,Houston,Texas,1978
303,Texas State Bobcats,San Marcos,Texas,1985
304,Texas Tech Red Raiders,Lubbock,Texas,1926
305,Texas-Arlington Mavericks,Arlington,Texas,1969
306,Texas-El Paso Miners,El Paso,Texas,1923
307,Texas-Rio Grande Valley Vaqueros,Edinburg,Texas,1969
308,Texas-San Antonio Roadrunners,San Antonia,Texas,1982
309,Toledo Rockets,Toledo,Ohio,1916
310,Towson Tigers,Towson,Maryland,1980
311,Troy Trojans,Troy,Alabama,1994
312,Tulane Green Wave,New Orleans,Louisiana,1906
313,Tulsa Golden Hurricane,Tulsa,Oklahoma,1914
314,UC-Davis Aggies,Davis,California,2008
315,UC-Irvine Anteaters,Irvine,California,1978
316,UC-Riverside Highlanders,Riverside,California,2002
317,UC-Santa Barbara Gauchos,Santa Barbara,California,1964
318,UCLA Bruins,Los Angeles,California,1920
319,University of California Golden Bears,Berkeley,California,1908
320,Utah State Aggies,Logan,Utah,1904
321,Utah Utes,Salt Lake City,Utah,1909
322,Utah Valley Wolverines,Orem,Utah,2010
323,Valparaiso Crusaders,Valparaiso,Indiana,1918
324,Vanderbilt Commodores,Nashville,Tennessee,1901
325,Vermont Catamounts,Burlington,Vermont,1921
326,Villanova Wildcats,Villanova,Pennsylvania,1921
327,Virginia Cavaliers,Charlottesville,Virginia,1906
328,Virginia Commonwealth Rams,Richmond,Virginia,1974
329,Virginia Military Institute Keydets,Lexington,Virginia,1909
330,Virginia Tech Hokies,Blacksburg,Virginia,1909
331,Wagner Seahawks,Staten Island,New York,1966
332,Wake Forest Demon Deacons,Winston-Salem,North Carolina,1906
333,Washington Huskies,Seattle,Washington,1896
334,Washington State Cougars,Pullman,Washington,1902
335,Weber State Wildcats,Ogden,Utah,1964
336,West Virginia Mountaineers,Morgantown,West Virginia,1904
337,Western Carolina Catamounts,Cullowhee,North Carolina,1977
338,Western Illinois Leathernecks,Macomb,Illinois,1982
339,Western Kentucky Hilltoppers,Bowling Green,Kentucky,1922
340,Western Michigan Broncos,Kalamazoo,Michigan,1914
341,Wichita State Shockers,Wichita,Kansas,1906
342,William & Mary Tribe,Williamsburg,Virginia,1906
343,Winthrop Eagles,Rock Hill,South Carolina,1987
344,Wisconsin Badgers,Madison,Wisconsin,1899
345,Wofford Terriers,Spartanburg,South Carolina,1996
346,Wright State Raiders,Dayton,Ohio,1988
347,Wyoming Cowboys,Laramie,Wyoming,1905
348,Xavier Musketeers,Cincinnati,Ohio,1920
349,Yale Bulldogs,New Haven,Connecticut,1896
350,Youngstown State Penguins,Youngstown,Ohio,1948
351,Monmouth Hawks,West Long Branch,New Jersey,1984
