Georgia Bulldogs,100,Jordan Harris\jordan-harris-4,2,SO,G,6-4,185,Iron City GA,Seminole County middle-High School,3.5,2.1,0.8
Georgia Bulldogs,100,Mike Edwards\mike-edwards-2,32,JR,F,6-9,225,Westland MI,John Glenn HS,1.8,1.8,0.2
Georgia Bulldogs,100,E'Torrion Wilridge\etorrion-wilridge-1,13,,F,6-6,215,Beaumont TX,Beaumont Central High School,1.1,1.1,0.8
Georgia Bulldogs,100,Pape Diatta\pape-diatta-1,5,SR,F,6-7,220,Senegal,The Rock High School,1.2,1.2,0.3
Georgia Bulldogs,100,Isaac Kante\isaac-kante-1,30,FR,F,6-7,236,Brooklyn NY,Putnam Science Academy,1,0.4,0
Georgia Bulldogs,100,Connor O'Neill\connor-oneill-1,24,,F,6-6,220,Roswell GA,Tilton School,0.3,1.3,0
Kentucky Wildcats,138,Yante Maten\yante-maten-1,1,SR,F,6-8,240,Pontiac MI,Bloomfield Hills HS,19.3,8.6,1.5
Kentucky Wildcats,138,William Jackson II\william-jacksonii-1,0,JR,G,6-2,185,Athens GA,Athens Christian,8.4,2.2,3.5
Kentucky Wildcats,138,Juwan Parker\juwan-parker-1,3,SR,G,6-4,200,Tulsa OK,Booker T. Washington HS,8.3,3.7,1.2
Kentucky Wildcats,138,Derek Ogbeide\derek-ogbeide-1,34,JR,F,6-8,240,Atlanta GA,Pebblebrook HS,6.9,6.2,0.7
Kentucky Wildcats,138,Rayshaun Hammonds\rayshaun-hammonds-1,20,FR,F,6-8,227,Norcross GA,Norcross High School,6.7,4.9,1.4
Kentucky Wildcats,138,Tyree Crump\tyree-crump-1,4,SO,G,6-1,180,Bainbridge GA,Bainbridge High School,6.5,1.2,1.3
Kentucky Wildcats,138,Nicolas Claxton\nicolas-claxton-1,33,FR,F,6-11,215,Greenville SC,Legacy Charter School,3.9,3.9,0.2
Kentucky Wildcats,138,TeShaun Hightower\teshaun-hightower-1,10,FR,G,6-4,180,Lithonia GA,Mt. Zion,3.6,1.4,1.3
Kentucky Wildcats,138,Jordan Harris\jordan-harris-4,2,SO,G,6-4,185,Iron City GA,Seminole County middle-High School,3.5,2.1,0.8
Kentucky Wildcats,138,Mike Edwards\mike-edwards-2,32,JR,F,6-9,225,Westland MI,John Glenn HS,1.8,1.8,0.2
Kentucky Wildcats,138,E'Torrion Wilridge\etorrion-wilridge-1,13,,F,6-6,215,Beaumont TX,Beaumont Central High School,1.1,1.1,0.8
Kentucky Wildcats,138,Pape Diatta\pape-diatta-1,5,SR,F,6-7,220,Senegal,The Rock High School,1.2,1.2,0.3
Kentucky Wildcats,138,Isaac Kante\isaac-kante-1,30,FR,F,6-7,236,Brooklyn NY,Putnam Science Academy,1,0.4,0
Kentucky Wildcats,138,Connor O'Neill\connor-oneill-1,24,,F,6-6,220,Roswell GA,Tilton School,0.3,1.3,0
Kentucky Wildcats,138,Christian Harrison\christian-harrison-1,11,JR,G,6-5,180,Atlanta GA,Woodward Academy,0,0.5,0
Louisiana State Fighting Tigers,150,Tremont Waters\tremont-waters-1,3,FR,G,5-11,167,New Haven CT,Notre Dame High School,15.9,3.4,6
Louisiana State Fighting Tigers,150,Duop Reath\duop-reath-1,1,SR,F,6-10,235,Perth WA,Lee College,12.5,5.3,0.7
Louisiana State Fighting Tigers,150,Skylar Mays\skylar-mays-1,4,SO,G,6-4,205,Baton Rouge LA,Louisiana State University Laboratory School,11.3,4,2.9
